id,false_sent,connector,explanation0,explanation1,explanation2,label
0,He poured orange juice on his cereal., This is false because ,Orange juice is usually bright orange.,Orange juice doesn't taste good on cereal.,Orange juice is sticky if you spill it on the table.,1
1,He drinks apple., This is false because ,Apple juice are very tasty and milk too,Apple can not be drunk,Apple cannot eat a human,1
2,"Jeff ran 100,000 miles today", This is false because ,"100,000 miles is way to long for one person to be able to run in one day.","Jeff is a four letter name and 100,000 has six numerical digest","100,000 miles is longer than 100,000 km.",0
3,I sting a mosquito, This is false because ,A human is a mammal,A human is omnivorous,A human has not stings,2
4,A giraffe is a person., This is false because ,Giraffes can drink water from a lake.,A giraffe is not a human being.,.Giraffes usually eat leaves.,1
5,A normal closet is larger than a walk-in closet., This is false because ,Walk-in closets are normal closets.,A person can sleep in a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,2
6,I like to ride my chocolate, This is false because ,Chocolate is delicious and bikes are not,"Chocolate is a food, not a transportation unit",My bike can't ride a chocolate,1
7,A GIRL WON THE RACE WITH HORSE, This is false because ,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,HORSE RAN FASTER THAN HER,2
8,he put elephant into the jug, This is false because ,elephants is an animal and jug is a thing,a jug is so small than an elephant,jug is used for store things,1
9,A dog plays volleyball, This is false because ,Only humans play volleyball,Dogs are not wild animals,Humans trust dogs,0
10,Eggs eat kis on Easter., This is false because ,Easter has a lot of eggs.,No egg eat kids.,Eggs are made for easter.,1
11,Mark drank a notebook., This is false because ,The notebook was yellow and Mark does not drink anything yellow.,A notebook is a solid and by definition a person can only drink a liquid.,Notebooks cost $.50,1
12,He went to the police station to withdraw cash., This is false because ,Police catches thieves while money can buy you things.,Police station is a place to file criminal complaints.,Police station has jails but no money to give.,1
13,An employee can price goods, This is false because ,An owner serve foods to employees,Owners always stand and sell goods,Only owner could price the goods,2
14,she wear hat in the hand, This is false because ,hat usually black in colour and bangles are in different colours,hat usually wear on the head,hat will be big in size,1
15,My cousin throws the house to my brother., This is false because ,Houses are usually expensive.,A house is too big to throw.,There are several houses on this street.,1
16,Roses buds  eat caterpillars, This is false because ,Rose buds are edible while caterpillars aren't,Rose buds bloom and caterpillars crawl,Caterpillars have mouths while rose buds don't,2
17,Lisa played jazz music for Moses of the Old Testament yesterday., This is false because ,Moses was too busy talking to the burning bush,Moses has been dead for a long time and could not have heard a concert yesterday.,Jazz is a fading art form,1
18,the computer broke down and the doctor fixed it, This is false because ,the technician heals people and the doctor heals machines,the technician is a doctor's friend and fixes the computer,a doctor does not fix computers,2
19,I drank bleach., This is false because ,Bleach is a denser liquid than water.,Bleach is used for cleaning.,Bleach is not stored in the kitchen.,1
20,I usually wear a shoe on my head, This is false because ,Cap looks good on the head,Shoe can be worn in feet only,We wear different things on the head,1
21,My brother placed the nuclear reactor inside the box., This is false because ,Nuclear reactor can be contained in a container.,Nuclear reactor is contained in a place.,Nuclear reactor is way too big to be placed in a box.,2
22,She took the chair for a walk, This is false because ,Chairs can't walk,Chairs can only go for runs,A chair is red,0
23,A dog roared at a cat in the street., This is false because ,Dogs do not usually roar at cats.,Roar is not a dog characteristic.,Dogs do not roar when they are chasing cats.,1
24,He mowed the carpet, This is false because ,grass is usually green while carpets are usually not,"lawnmowers are for cutting grass, not carpets",carpet is too short to mow,1
25,I drive a bike, This is false because ,A bike and a car is a very good mode of transport,I either use my bike or use my car to go to the office,A bike is ridden not driven,2
26,I dress an elephant, This is false because ,An elephant is a wild animal,An elephant is grey,An elephant has a proboscis,0
27,I cook football very well, This is false because ,A football is thing to play with not a thing to eat,A football kept on the table looks good,A football and a watermelon is almost equal in size,0
28,Car is a very good mode of water transport, This is false because ,A car and a boat is a good mode of transport,Car is a mode of land of transport,I either use a boat and a car to travel,1
29,a dog is taken to a pool after getting sick, This is false because ,the dogs get sick and the pools clean,a pool has no medical attention for animals,a dog cannot spread a pool,1
30,She rode her bike to the moon., This is false because ,Her bike is not the same color as the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",She did not have permission from her parents to ride her bike that far away from home.,1
31,A boy shuts down, This is false because ,A boy is full of energy,A boy is a male,"A boy can fall asleep, but a boy cannot shut down",2
32,He planted cucumber seeds in the couch., This is false because ,Cucumber seeds make sitting in a couch uncomfortable.,Digging a hole in the couch to plant seeds can be very messy.,Cucumbers need the conditions of a garden to grow instead of a couch.,2
33,I play games on my Gas stove, This is false because ,Gas stove a very important equipment used in the house,Gas stove is frequently used in the house,Gas stove is equipment to cook food,2
34,Stars read me, This is false because ,Stars has not eyes,Stars are too big,Stars are too far,0
35,A boy turns off the door, This is false because ,A door cannot turn off a light,A door can be closed but a door cannot be turned off,A light cannot close the door,1
36,He read a very long window King Tut., This is false because ,"Books have pages and words to read, while windows do not and serve a different purpose.",Glass windows were invented after King Tut was born.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",0
37,He lost his phone in the mouth of a griffin., This is false because ,A griffin would find that metal of a phone disgusting and not want to eat it.,A griffin always shares what it eats with it's baby griffins.,A griffin is a mythical creature that does not exist.,2
38,Sara had a glass of petrol, This is false because ,Sara does not like the taste of petrol,Sara was not thirsty enough to have a whole glass of petrol,drinking petrol is dangerous to one's life,2
39,he kept a chair inside the fridge, This is false because ,fridge store vegetables and fruits,chair is bigger than the fridge,chair used to sit,1
40,I read a tiger, This is false because ,A tiger has not letters on herself,A tiger is orange,A tiger is wild,0
41,I use internet on my radio, This is false because ,We get signal on a radio,Radio is a great mode of communication,Internet can not be used on a radio,2
42,She drove her children to the moon., This is false because ,Children can't breathe on the moon.,The moon has no swing sets.,The moon is not reachable by car.,2
43,She parachuted into the grocery store from a plane., This is false because ,"If you jumped from a plane to get groceries, you would have no way to get them home.",It's difficult to park a plane in a grocery store parking lot.,Grocery stores do not carry parachutes.,0
44,The fish swam in the desert., This is false because ,Fish do not take vacations to the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand","A desert has no water, so a fish could not swim there.",2
45,There was a dead ice creature walking in the snow., This is false because ,Dead ice creatures do not walk on ice.,Dead ice creatures do not walk.,Dead ice creatures do not exist.,2
46,I swim under a tap, This is false because ,Tap a good source of water,Tap water is generally used to take bath,There are not enough water under a tap to swim,2
